,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,Sainte-Suzanne,20,RE,1587162190,64,-20.91,55.61,73.4,10.29
283,Constantine,75,DZ,1587162054,77,36.37,6.61,62.6,2.24
284,Santo André,75,BR,1587162190,72,-23.66,-46.54,64.4,14.99
285,Taoudenni,1,ML,1587162190,16,22.68,-3.98,95.54,5.95
286,Skjervøy,100,NO,1587162190,85,70.03,20.97,35.13,27.56
287,Sotnikovo,75,RU,1587162190,70,51.88,107.48,41.0,13.42
288,Āsosa,53,ET,1587162190,12,10.07,34.53,73.42,2.35
289,Palmer,90,US,1587162191,26,42.16,-72.33,48.2,17.22
290,Lompoc,90,US,1587162124,82,34.64,-120.46,57.99,9.17
291,Onega,100,RU,1587162191,98,63.91,38.14,31.75,10.8
292,Mushie,93,CD,1587162191,81,-3.02,16.9,74.48,1.57
293,Kita,0,ML,1587162191,17,13.03,-9.49,95.59,5.59
294,Itarema,100,BR,1587162166,88,-2.92,-39.92,77.99,4.45
295,Juneau,40,US,1587162002,76,58.3,-134.42,50.0,3.36
296,Boende,75,CD,1587162192,84,-0.22,20.87,74.46,2.66
297,Charleville,75,AU,1587162192,49,-26.4,146.25,69.8,4.7
298,Masunga,3,BW,1587162192,53,-20.62,27.45,67.59,13.65
299,Ardahan,9,TR,1587162192,33,41.11,42.7,39.74,2.71
300,Nikolayevsk-on-Amur,100,RU,1587162192,95,53.14,140.73,26.1,8.77
301,Porosozero,10,RU,1587162192,95,62.72,32.73,29.5,8.63
302,Goma,100,CD,1587162192,52,-1.68,29.22,65.17,0.51
303,Tommot,81,RU,1587162192,89,58.96,126.29,8.15,3.38
304,Ballina,75,AU,1587162124,94,-28.87,153.57,71.6,8.05
305,Dunedin,100,NZ,1587162017,96,-45.87,170.5,51.01,1.99
306,Avera,1,US,1587162193,36,33.19,-82.53,75.2,10.29
307,Nagrām,75,IN,1587162193,51,26.62,81.13,80.6,2.24
308,Moose Factory,90,CA,1587162193,37,51.26,-80.61,33.8,12.75
309,Tarauacá,87,BR,1587162193,64,-8.16,-70.77,80.37,3.49
310,Along,50,IN,1587162085,64,28.17,94.77,65.73,2.89
311,Rwamagana,75,RW,1587162193,82,-1.95,30.43,68.0,5.82
312,Ostrovnoy,100,RU,1587162064,96,68.05,39.51,32.29,14.74
313,Weihai,0,CN,1587162194,89,37.5,122.11,47.75,9.8
314,Acaponeta,61,MX,1587162194,16,22.5,-105.36,96.84,11.01
315,Tagusao,7,PH,1587162194,77,9.19,117.81,80.91,3.33
316,Baykit,88,RU,1587162194,95,61.67,96.37,29.28,1.88
317,Kamogawa,75,JP,1587162194,87,35.1,140.1,59.0,8.05
318,Portland,20,US,1587162122,12,45.52,-122.68,75.99,6.93
319,Berlevåg,90,NO,1587162194,87,70.86,29.09,37.4,27.51
320,Clyde River,40,CA,1587162194,78,70.47,-68.59,10.4,12.75
321,Vanino,0,RU,1587162195,67,49.09,140.25,39.76,4.47
322,Innisfail,3,AU,1587162195,90,-17.53,146.03,72.48,3.53
323,Porto Velho,40,BR,1587161951,66,-8.76,-63.9,86.0,5.82
324,Shetpe,27,KZ,1587162196,48,44.17,52.12,48.15,5.95
325,Mabai,100,CN,1587162196,65,23.01,104.45,58.17,3.67
326,Tongliao,0,CN,1587162196,51,43.61,122.27,46.22,5.82
327,Santoña,99,ES,1587162196,87,43.44,-3.46,57.99,2.39
328,Buala,100,SB,1587162196,83,-8.14,159.59,79.88,6.33
329,Verkhnevilyuysk,6,RU,1587162197,93,63.45,120.32,3.43,4.85
330,Fortuna,1,US,1587162197,82,40.6,-124.16,62.01,13.87
331,Nizhnevartovsk,100,RU,1587161997,70,60.93,76.55,42.8,11.18
332,Tyrma,77,RU,1587162197,56,50.08,132.17,40.93,2.26
333,Bauru,96,BR,1587162197,61,-22.31,-49.06,78.8,5.82
334,Paamiut,90,GL,1587162197,91,61.99,-49.67,27.66,9.62
335,Verāval,0,IN,1587162197,53,20.9,70.37,80.91,12.95
336,Porto Santo,20,PT,1587162097,67,33.07,-16.34,62.6,6.93
337,Urucará,100,BR,1587162198,92,-2.54,-57.76,80.04,1.9
338,Arrondissement de Blois,99,FR,1587162198,100,47.58,1.33,59.0,5.82
339,Chapais,75,CA,1587162198,86,49.78,-74.85,26.6,4.7
340,Mahabalipuram,20,IN,1587162198,83,12.63,80.17,84.99,3.36
341,Reconquista,0,AR,1587162198,39,-29.15,-59.65,71.87,2.95
342,Wao,5,PH,1587162198,58,7.68,124.68,61.9,2.93
343,Siderno,3,IT,1587162198,77,38.28,16.3,60.01,1.3
344,Altay,5,CN,1587162199,38,47.87,88.12,43.43,4.21
345,Buchanan,100,LR,1587162199,86,5.88,-10.05,82.58,9.82
346,Iranshahr,86,IR,1587162146,60,27.2,60.68,69.8,4.7
347,Oranjemund,66,NA,1587162199,88,-28.55,16.43,58.37,5.08
348,Douglas,1,US,1587162199,49,41.3,-96.17,48.0,8.05
349,Nelson Bay,89,AU,1587162090,55,-32.72,152.15,62.6,13.87
350,Majene,17,ID,1587162199,82,-3.54,118.97,78.03,3.38
351,Burgeo,26,CA,1587162199,88,47.62,-57.62,32.47,21.05
352,Aberdeen,90,GB,1587162148,60,57.14,-2.1,42.8,8.05
353,Katherine,40,AU,1587162200,73,-14.47,132.27,77.0,4.47
354,Río Gallegos,0,AR,1587162200,47,-51.62,-69.22,55.4,18.34
355,Benicarló,97,ES,1587162200,91,40.42,0.43,57.0,7.0
356,Nouadhibou,88,MR,1587162200,77,20.93,-17.03,66.2,16.11
357,Porbandar,0,IN,1587162200,69,21.64,69.61,79.63,11.16
358,Bariloche,75,AR,1587162200,93,-41.15,-71.31,63.0,17.22
359,Yeppoon,90,AU,1587162200,94,-23.13,150.73,71.6,3.36
360,Arman',100,RU,1587162200,94,59.7,150.17,15.73,13.24
361,Teya,40,RU,1587162201,89,60.38,92.63,31.57,0.25
362,Roald,16,NO,1587162201,71,62.58,6.13,34.0,2.24
363,Coyhaique,75,CL,1587162201,62,-45.58,-72.07,55.4,6.15
364,Bryan,90,US,1587162201,94,30.67,-96.37,77.0,4.7
365,Itupiranga,75,BR,1587162201,100,-5.13,-49.33,77.0,6.93
366,Gravdal,100,NO,1587162202,96,68.12,13.5,34.83,11.14
367,Vao,27,NC,1587162202,70,-22.67,167.48,74.61,7.63
368,Dzerzhinsk,20,RU,1587162162,84,56.24,43.46,39.0,8.95
369,Lázaro Cárdenas,99,MX,1587162117,41,17.96,-102.2,87.89,10.11
370,San Jose,75,US,1587162142,52,37.34,-121.89,68.0,10.29
371,Shenjiamen,96,CN,1587162202,75,29.96,122.3,61.02,4.16
372,Amahai,23,ID,1587162202,79,-3.33,128.92,80.85,1.92
373,Saint Anthony,75,US,1587162202,26,45.02,-93.22,48.2,13.87
374,Qasigiannguit,97,GL,1587162203,74,68.82,-51.19,28.4,2.24
375,Dikson,2,RU,1587162203,92,73.51,80.55,9.55,8.34
376,Bonfim,100,BR,1587162203,37,3.08,-59.95,94.41,4.61
377,Petropavlovsk-Kamchatskiy,0,RU,1587162203,59,53.05,158.65,37.4,2.24
378,Jieshi,100,CN,1587162203,79,22.81,115.83,75.0,3.15
379,Joshīmath,99,IN,1587162203,31,30.57,79.57,50.68,3.67
380,Chhor,0,PK,1587162204,33,25.52,69.77,84.83,16.02
381,Waipawa,7,NZ,1587162204,82,-41.41,175.52,62.6,24.16
382,Turbat,0,PK,1587162204,51,26.0,63.04,78.8,6.67
383,Pisco,58,PE,1587162086,69,-13.7,-76.22,75.2,23.04
384,Tateyama,75,JP,1587162204,87,34.98,139.87,59.0,8.05
385,Samsun Province,99,TR,1587162185,93,41.25,36.33,42.8,2.24
386,Tyukhtet,0,RU,1587162065,89,56.54,89.3,31.98,3.53
387,Grand-Santi,100,GF,1587162204,90,4.25,-54.38,77.22,4.03
388,Poya,92,NC,1587162205,79,-21.35,165.15,75.9,4.43
389,Havøysund,75,NO,1587162205,78,71.0,24.66,39.2,35.57
390,Kailua,40,US,1587162192,54,21.4,-157.74,82.4,12.75
391,Coacoyul,100,MX,1587162205,22,17.81,-99.11,98.01,1.01
392,Santa Isabel,90,BR,1587162205,67,-23.32,-46.22,64.4,6.93
393,Matara,3,LK,1587162205,86,5.95,80.54,78.91,4.09
394,Kyshtovka,84,RU,1587162206,72,56.55,76.63,46.78,12.35
395,The Valley,20,AI,1587162206,65,18.22,-63.06,82.4,8.05
396,Jalalpur Pirwala,0,PK,1587162206,65,29.51,71.22,71.71,15.14
397,Alekseyevsk,99,RU,1587162206,87,57.84,108.35,23.23,13.44
398,Henties Bay,0,NA,1587162206,91,-22.12,14.28,57.99,7.43
399,Alice Springs,22,AU,1587162206,55,-23.7,133.88,62.6,5.82
400,Jiutai,90,CN,1587162206,69,44.15,125.83,39.2,4.47
401,Aklavik,90,CA,1587162206,80,68.22,-135.01,33.8,6.93
402,Mulegé,0,MX,1587162207,25,26.88,-111.98,79.66,3.53
403,Akdepe,0,TM,1587162207,58,42.06,59.38,55.4,9.17
404,San Isidro,57,PE,1587162143,69,-12.12,-77.05,75.2,8.05
405,Ponta do Sol,12,PT,1587162207,68,32.67,-17.1,59.0,6.11
406,Blythe,1,US,1587162207,14,33.61,-114.6,82.99,13.87
407,Madīnat Sittah Uktūbar,0,EG,1587162207,72,29.82,31.05,64.4,10.29
408,Itupeva,84,BR,1587162207,72,-23.15,-47.06,66.2,14.99
409,Faya,0,SA,1587162208,34,18.39,42.45,64.4,8.05
410,Torbay,75,CA,1587162208,85,47.67,-52.73,35.01,8.05
411,Timrå,0,SE,1587162208,51,62.49,17.33,37.0,13.87
412,Gobabis,0,NA,1587162208,63,-22.45,18.97,66.2,4.7
413,Lavrentiya,98,RU,1587162208,96,65.58,-171.0,27.73,12.77
414,Amberley,90,US,1587162208,87,39.2,-84.43,50.0,9.17
415,Hauterive,100,FR,1587162209,62,46.09,3.45,57.2,17.22
416,Khasan,76,RU,1587162209,88,42.43,130.64,39.51,5.1
417,Ketchikan,1,US,1587162209,62,55.34,-131.65,57.2,20.8
418,Tūkrah,0,LY,1587162209,78,32.53,20.58,57.72,7.99
419,Balad,75,IQ,1587162209,30,34.02,44.15,75.61,12.24
420,Gillette,1,US,1587162209,19,44.29,-105.5,55.4,11.41
421,Saint-François,100,FR,1587162209,71,46.42,3.91,55.4,2.98
422,Paphos,0,CY,1587162209,67,34.77,32.42,62.6,6.93
423,Shingū,100,JP,1587162210,85,33.73,135.98,60.4,19.3
424,Kerema,100,PG,1587162210,84,-7.96,145.78,76.68,2.39
425,Broome,90,US,1587162210,92,42.25,-75.83,36.0,3.36
426,Kenai,75,US,1587162210,81,60.55,-151.26,46.4,6.93
427,Fairbanks,90,US,1587161965,75,64.84,-147.72,48.0,4.7
428,Kalmunai,7,LK,1587162210,79,7.42,81.82,81.37,6.76
429,Asău,40,RO,1587162210,54,46.43,26.4,54.0,8.05
430,Tessalit,7,ML,1587162210,14,20.2,1.01,88.03,9.24
431,Saryagash,0,KZ,1587162211,66,41.45,69.17,53.6,9.17
432,Bilma,0,NE,1587162211,12,18.69,12.92,82.83,6.2
433,Vestmannaeyjar,65,IS,1587162211,83,63.44,-20.27,44.01,29.62
434,Calama,0,CL,1587162211,10,-22.47,-68.93,71.6,18.34
435,Bilibino,10,RU,1587162211,86,68.05,166.44,5.29,5.23
436,Biloela,40,AU,1587162211,77,-24.42,150.5,68.9,2.59
437,Aloleng,93,PH,1587162212,79,16.13,119.78,80.17,4.43
438,Luanda,75,AO,1587162212,94,-8.84,13.23,80.6,5.82
439,Huntington,90,US,1587161977,54,38.42,-82.45,60.01,6.93
440,Mount Isa,18,AU,1587162212,38,-20.73,139.5,75.2,11.41
441,Karratha,97,AU,1587162212,55,-20.74,116.85,82.9,10.07
442,Zhigansk,0,RU,1587162066,88,66.77,123.37,-8.68,13.76
443,Shache,100,CN,1587162212,60,38.42,77.24,53.19,1.86
444,Moerai,99,PF,1587162212,77,-22.43,-151.33,79.97,10.07
445,Keti Bandar,0,PK,1587162212,77,24.14,67.45,78.84,12.64
446,Ouargaye,4,BF,1587162213,9,11.5,0.06,94.69,6.51
447,Lovington,5,US,1587162213,19,32.94,-103.35,57.99,4.7
448,Haines Junction,93,CA,1587162213,63,60.75,-137.51,40.8,2.84
449,Iracoubo,76,GF,1587162213,79,5.48,-53.2,81.14,11.43
450,Seoul,1,KR,1587162045,76,37.57,126.98,51.8,4.63
451,Bathsheba,40,BB,1587162213,69,13.22,-59.52,80.6,16.11
452,Batagay,99,RU,1587162034,85,67.63,134.63,-13.34,3.18
453,‘Āhuimanu,40,US,1587162213,54,21.44,-157.84,84.2,12.75
454,Baijiantan,55,CN,1587162214,47,45.63,85.18,56.48,2.04
455,Baghdad,87,IQ,1587162158,27,33.34,44.4,77.0,8.05
456,Watrous,100,CA,1587162214,73,51.67,-105.47,39.02,11.61
457,Tonj,62,SS,1587162214,12,7.27,28.68,86.18,2.19
458,Wembley,97,AU,1587162214,93,-31.93,115.8,55.0,2.17
459,Letnyaya Stavka,96,RU,1587162214,56,45.43,43.45,47.95,9.33
460,Fenoarivo,20,MG,1587162214,93,-18.93,47.44,59.0,6.93
461,Novikovo,21,RU,1587162214,73,51.15,37.89,37.99,9.98
462,Byron Bay,75,AU,1587162214,94,-28.65,153.62,71.6,8.05
463,Chicama,75,PE,1587162215,88,-7.84,-79.15,69.8,11.41
464,Nāgaur,7,IN,1587162215,21,27.2,73.73,82.67,5.57
465,Simao,66,CN,1587162215,47,22.79,100.97,62.13,1.07
466,Valdosta,20,US,1587161834,42,30.83,-83.28,80.6,3.36
467,Dhrāngadhra,0,IN,1587162215,33,22.98,71.47,84.04,11.3
468,Tiarei,99,PF,1587162215,66,-17.53,-149.33,89.6,12.75
469,Port Augusta,0,AU,1587162215,93,-32.5,137.77,50.0,8.05
470,Northam,89,GB,1587162216,89,51.03,-4.22,53.01,5.01
471,Payson,75,US,1587162216,23,40.04,-111.73,53.6,3.36
472,Ayan,11,RU,1587162216,84,56.45,138.17,18.52,11.56
473,Arlit,3,NE,1587162216,10,18.74,7.39,90.45,6.08
474,Koróni,74,GR,1587162216,87,36.8,21.95,59.0,3.36
475,Meulaboh,100,ID,1587162216,82,4.14,96.13,78.82,5.26
476,Victor Harbor,99,AU,1587162216,83,-35.57,138.62,55.99,1.99
477,Kosh-Agach,0,RU,1587162216,44,50.0,88.67,26.67,2.42
478,Sanghar,0,PK,1587162216,45,26.05,68.95,86.0,6.93
479,Bereda,1,ES,1587162204,1,43.27,-7.54,51.01,4.23
480,La Asuncion,100,VE,1587162217,94,11.03,-63.86,71.6,21.92
481,Port Macquarie,98,AU,1587162176,97,-31.43,152.92,62.01,7.31
482,San Matías,11,BO,1587162217,54,-16.37,-58.4,77.58,6.82
483,Pingliang,100,CN,1587162217,33,35.54,106.69,48.11,7.65
484,Poso,31,ID,1587162217,67,-1.4,120.75,78.48,2.24
485,Vostok,100,RU,1587162217,63,46.49,135.88,37.08,2.35
486,Acapulco de Juárez,5,MX,1587162217,70,16.86,-99.89,84.2,10.29
487,Okhotsk,4,RU,1587162218,90,59.38,143.3,13.64,10.94
488,Naica,51,MX,1587162218,6,27.85,-105.48,88.77,10.87
489,Hong Kong,100,HK,1587162015,78,22.29,114.16,71.01,5.01
490,Ulladulla,0,AU,1587162218,48,-35.35,150.47,62.6,13.87
491,Burriana,90,ES,1587162218,100,39.89,-0.09,57.0,1.12
492,Ayat,75,ET,1587162218,93,9.03,38.85,59.0,9.17
493,Mount Abu,27,IN,1587162218,34,24.59,72.71,71.06,4.61
494,Grande Prairie,75,CA,1587162098,66,55.17,-118.8,48.2,9.17
495,Kalabo,60,ZM,1587162218,46,-14.97,22.68,72.72,4.54
496,Olinda,75,BR,1587162218,88,-8.01,-34.86,80.6,9.17
497,Oceanside,75,US,1587162219,59,33.2,-117.38,66.2,9.17
498,Pozo Colorado,100,PY,1587162219,39,-23.49,-58.8,74.19,3.53
499,Homer,90,US,1587162219,76,59.64,-151.55,50.0,4.7
500,Beyneu,87,KZ,1587162219,46,45.32,55.2,53.82,6.4
501,Pochutla,90,MX,1587162219,52,15.74,-96.47,91.4,11.41
502,Gazli,4,UZ,1587162219,28,40.13,63.45,64.45,2.95
503,Mossamedes,29,AO,1587162219,64,-15.2,12.15,74.21,4.52
504,Lakes Entrance,76,AU,1587162220,93,-37.88,147.98,41.0,20.18
505,Ulaangom,0,MN,1587162220,58,49.98,92.07,34.23,1.54
506,Lucea,20,JM,1587162220,66,18.45,-78.17,87.01,12.75
507,Melekhovo,50,RU,1587162220,85,56.28,41.29,34.2,7.74
508,Aktash,0,RU,1587162220,48,50.3,87.73,22.21,1.83
509,Kiunga,65,PG,1587162220,96,-6.12,141.29,72.59,0.81
510,San Rafael,0,AR,1587161950,23,-34.62,-68.33,80.87,19.28
511,Mahon,100,ES,1587162221,87,39.89,4.27,60.8,14.99
512,Ingham,90,US,1587162222,87,42.6,-84.38,36.0,5.82
513,Mehamn,90,NO,1587162222,88,71.04,27.85,39.2,27.51
514,Kayerkan,94,RU,1587162222,79,69.35,87.76,26.6,22.37
515,Vaxjo,0,SE,1587162186,69,56.88,14.81,32.0,3.36
516,Caernarfon,100,GB,1587162222,71,53.14,-4.27,51.8,2.24
517,Egvekinot,99,RU,1587162222,89,66.32,-179.17,12.16,15.9
518,Charlestown,64,AU,1587162187,67,-32.95,151.67,60.01,6.17
519,Tarakan,100,ID,1587162096,84,3.3,117.63,78.55,3.53
520,Port Hardy,75,CA,1587162223,67,50.7,-127.42,57.2,16.11
521,Kuusamo,75,FI,1587162223,80,65.97,29.18,33.8,12.75
522,Kabalo,86,CD,1587162223,82,-6.05,26.92,71.22,1.36
523,Jüterbog,96,DE,1587162223,59,51.98,13.08,46.99,1.01
524,Shelburne,100,CA,1587162223,54,44.08,-80.2,42.01,5.46
525,Maceió,20,BR,1587162211,94,-9.67,-35.74,78.8,2.24
526,São João da Barra,26,BR,1587162223,69,-21.64,-41.05,75.2,11.41
527,Ardakān,20,IR,1587162224,87,32.31,54.02,53.6,4.7
528,Wamba,1,NG,1587162191,43,8.93,8.6,84.92,2.04
529,Jianhu,75,CN,1587162224,68,29.98,120.57,66.99,4.47
530,Krasnyy Chikoy,92,RU,1587162224,63,50.36,108.75,40.46,5.7
531,Zeya,2,RU,1587162224,77,53.75,127.27,23.77,6.51
532,Bollnäs,10,SE,1587162224,51,61.35,16.39,33.01,1.99
533,Villa María,0,AR,1587162224,38,-32.41,-63.24,73.94,9.91
534,Balikpapan,20,ID,1587162224,94,-1.27,116.83,78.8,6.4
535,Kushima,40,JP,1587162225,67,31.46,131.23,60.8,8.05
536,Belmonte,75,BR,1587162225,88,-15.86,-38.88,77.0,3.36
537,Pundaguitan,42,PH,1587162225,75,6.37,126.17,81.46,10.58
538,Kieta,92,PG,1587162225,76,-6.22,155.63,80.13,1.39
539,Bestöbe,0,KZ,1587162225,53,52.5,73.1,51.06,10.36
540,Berdigestyakh,51,RU,1587162225,90,62.1,126.7,0.82,4.32
541,Santa Ana,75,US,1587162003,45,33.75,-117.87,68.0,9.17
542,Qui Nhon,100,VN,1587162003,87,13.77,109.23,77.59,3.04
543,Saint-Augustin,100,CA,1587162227,93,51.23,-58.65,29.16,10.31
544,Zhalantun,0,CN,1587162227,70,48.0,122.72,44.01,3.0
545,Klamath Falls,1,US,1587162177,14,42.22,-121.78,60.8,4.7
546,Griffith,90,US,1587162079,88,41.53,-87.42,36.0,10.29
547,Fort Nelson,75,CA,1587162230,45,58.81,-122.7,44.6,12.75
548,Batagay-Alyta,64,RU,1587162160,77,67.8,130.41,-9.31,7.56
549,Isla Mujeres,75,MX,1587162231,66,21.23,-86.73,86.0,16.11
550,Porto Seguro,75,BR,1587162231,88,-16.45,-39.06,77.0,3.36
551,Umm Kaddadah,24,SD,1587162231,14,13.6,26.69,77.04,12.33
552,St. George's,20,GD,1587162013,74,12.06,-61.75,82.4,9.17
553,Sorong,10,ID,1587162231,89,-0.88,131.25,76.77,1.61
554,Porto-Novo,40,BJ,1587162231,83,6.5,2.6,84.2,11.41
555,Genhe,1,CN,1587162231,61,50.78,121.52,34.0,2.64
556,Province of Mantua,100,IT,1587162231,72,45.17,10.78,55.99,1.99
557,Margate,100,GB,1587162232,74,51.38,1.39,48.99,8.99
558,Beihai,100,CN,1587162232,91,21.48,109.1,73.35,9.17
559,Sinop Province,100,TR,1587162232,65,41.77,34.87,47.53,0.54
560,Alofi,16,NU,1587161987,70,-19.06,-169.92,84.2,12.75
561,Komsomolets,98,KZ,1587162232,67,53.75,62.07,46.29,15.7
562,Rio Grande,4,BR,1587162037,83,-32.03,-52.1,62.01,10.45
563,Plérin,66,FR,1587162232,87,48.54,-2.78,55.0,1.12
564,Abu Samrah,9,SY,1587162232,43,35.3,37.18,64.74,5.91
565,Capoterra,75,IT,1587162233,87,39.18,8.97,61.0,11.41
